flavor,description,image,price,producer
Yaguar Berryland,"Yaguar Berryland to genialne połączenie smaku ostrokrzewu paragwajskiego i słodkich owoców - truskawki, czarnej porzeczki i maliny.",www.poyerbani.pl/pol_pl_Yaguar-Berryland-0-5kg-9627_4.webp,24.90,Yaguar
Yaguar Berryland 50g,"Yaguar Berryland to genialne połączenie smaku ostrokrzewu paragwajskiego i słodkich owoców - truskawki, czarnej porzeczki i maliny.",www.poyerbani.pl/pol_pl_Yaguar-Berryland-50g-9628_1.png,4.99,Yaguar
Yaguar Cherry Lady,"Yaguar Cherry Lady to nietypowe połączenie yerba mate i rooibosa, nazywanego potocznie czerwoną herbatą, z dodatkiem wiśni, kwiatów hibiskusa i imbiru.",www.poyerbani.pl/pol_pl_Yaguar-Cherry-Lady-0-5kg-9633_4.webp,24.90,Yaguar
Yaguar Cherry Lady 50g,"Yaguar Cherry Lady to nietypowe połączenie yerba mate i rooibosa, nazywanego potocznie czerwoną herbatą, z dodatkiem wiśni, kwiatów hibiskusa i imbiru.",www.poyerbani.pl/pol_pl_Yaguar-Cherry-Lady-50g-9635_1.png,4.99,Yaguar
Yaguar Citrus Bomb,"Yaguar Citrus Bomb to orzeźwiająca mieszanka brazylijskiej yerba mate i cytrusów - cytryny, pomarańczy i limonki.",www.poyerbani.pl/pol_pl_Yaguar-Citrus-Bomb-0-5kg-9630_4.webp,24.90,Yaguar
Yaguar Citrus Bomb 50g,"Yaguar Citrus Bomb to orzeźwiająca mieszanka brazylijskiej yerba mate i cytrusów - cytryny, pomarańczy i limonki.",www.poyerbani.pl/pol_pl_Yaguar-Citrus-Bomb-50g-9631_1.png,4.99,Yaguar
Yaguar Sangria 50 g,"Inspiracją do stworzenia yerba mate Yaguar Sangria był tradycyjny hiszpański poncz, łączący smak wina i owoców - słodki i mocno orzeźwiający, doskonały w upalne, letnie wieczory. ",www.poyerbani.pl/pol_pl_Yaguar-Sangria-50-g-9687_1.png,4.99,Yaguar
Yerbera – Puszka z Verde Mate Green Rosa ,"Verde Mate Green Rosa to aromatyczny dodatek, który zachwyci każdego wielbiciela nieoczywistych smaków. Tę mieszankę każdy odbierze inaczej - delikatnie słodkawy aromat uzupełnia goryczkę, tworząc przepiękną fuzję.",www.poyerbani.pl/pol_pl_Yerbera-Puszka-z-Verde-Mate-Green-Rosa-0-5kg-7473_2.png,49.99,Verde Mate
Yerbera – Puszka z Yaguar Berryland,"Yaguar Berryland to genialne połączenie smaku ostrokrzewu paragwajskiego i słodkich owoców - truskawki, czarnej porzeczki i maliny.",www.poyerbani.pl/pol_pl_Yerbera-Puszka-z-Yaguar-Berryland-0-5-kg-9629_1.png,49.99,Yaguar
Yerbera – Puszka z Yaguar Citrus Bomb,"Yaguar Citrus Bomb to orzeźwiająca mieszanka brazylijskiej yerba mate i cytrusów - cytryny, pomarańczy i limonki.",www.poyerbani.pl/pol_pl_Yerbera-Puszka-z-Yaguar-Citrus-Bomb-0-5-kg-9632_2.png,49.99,Yaguar
Yerbera – Puszka z Yaguar Sangria,"Inspiracją do stworzenia yerba mate Yaguar Sangria był tradycyjny hiszpański poncz, łączący smak wina i owoców - słodki i mocno orzeźwiający, doskonały w upalne, letnie wieczory. ",www.poyerbani.pl/pol_pl_Yerbera-Puszka-z-Yaguar-Sangria-0-5-kg-9688_11.png,49.99,Yaguar
Yerbera – Puszka z Yerba Mate Yaguar Cherry Lady ,"Yaguar Cherry Lady to nietypowe połączenie yerba mate i rooibosa, nazywanego potocznie czerwoną herbatą, z dodatkiem wiśni, kwiatów hibiskusa i imbiru.",www.poyerbani.pl/pol_pl_Yerbera-Puszka-z-Yerba-Mate-Yaguar-Cherry-Lady-0-5-kg-9634_3.png,49.99,Yaguar
Campesino Anis (anyżowa),"Yerba Mate Campesino Anís – anyżowa, paragwajska yerba. Oryginalne, niespotykane połączenie ostrokrzewu paragwajskiego ze słodkim anyżem – warto spróbować.",www.poyerbani.pl/pol_pl_Campesino-Anis-anyzowa-0-5kg-977_1.png,26.99,Campesino
Campesino Menta Limon (miętowo-cytrynowa),Yerba Mate miętowo cytrynowa – Campesino Menta Limon 500 g 0.5 kg. Idealne połącznie ostrokrzewu paragwajskiego z olejkiem miętowym i cytrynowym. Orzeźwia i pobudza.,www.poyerbani.pl/pol_pl_Campesino-Menta-Limon-mietowo-cytrynowa-0-5kg-992_1.png,25.42,Campesino
Campesino Refrescante,Yerba Mate Campesino Refrescante 500 g 0.5 kg to orzeźwiająca kompozycja yerba mate z liśćmi mięty oraz olejkiem miętowym. Świetnie pobudza i orzeźwia.,www.poyerbani.pl/pol_pl_Campesino-Refrescante-0-5kg-999_1.png,21.59,Campesino
CBSe Endulife Con Stevia,"CBSe Endulife con Stevia 0,5 kg 500 g to słodzona argentyńska yerba mate z dodatkiem stewii. Jest łagodna w smaku, wyważona i bogata w kofeinę. Dobrze pobudza. Polecana początkującym i zaawansowanym!",www.poyerbani.pl/pol_pl_CBSe-Endulife-Con-Stevia-0-5kg-1010_1.png,26.99,CBSé
CBSe Energia Guarana,Yerba Mate CBSé Energía Guarana to pobudzająca argentyńska yerba z guaraną. Ma łagodny owocowy smak i aromat. Zawiera mnóstwo kofeiny. Prawdziwy bestseller!,www.poyerbani.pl/pol_pl_CBSe-Energia-Guarana-0-5-kg-1016_1.jpg,27.99,CBSé
CBSe Frutos del Bosque (owoce lasu),"CBSé Frutos del Bosque 0,5 kg 500 g to argentyńska yerba mate o smaku owoców leśnych. Jest delikatna w smaku, wyważona i bogata w kofeinę. Dobrze pobudza. Polecana początkującym i zaawansowanym!",www.poyerbani.pl/pol_pl_CBSe-Frutos-del-Bosque-owoce-lasu-0-5kg-1020_2.png,26.99,CBSé
"CBSe Frutos Tropicales (mango, owoce tropikalne)","CBSé Frutos Tropicales 0,5 kg 500 g to argentyńska yerba mate o smaku owoców tropikalnych. Jest delikatna w smaku, wyważona i bogata w kofeinę. Dobrze pobudza. Polecana początkującym i zaawansowanym!",www.poyerbani.pl/pol_pl_CBSe-Frutos-Tropicales-mango-owoce-tropikalne-0-5kg-1025_2.png,26.99,CBSé
CBSe Hierbas Cuyanas,"CBSe Hierbas Cuyanas 0,5 kg 500 g to argentyńska yerba mate o smaku ziołowym. Jest łagodna w smaku, wyważona i bogata w kofeinę. Dobrze pobudza. Polecana początkującym i zaawansowanym!",www.poyerbani.pl/pol_pl_CBSe-Hierbas-Cuyanas-0-5kg-1007_1.webp,16.79,CBSé
CBSe Limon (cytrynowa),"Yerba Mate CBSé Limón 0,5 kg 500 g to smakowa argentyńska kompozycja. Ma orzeźwiający cytrynowy aromat i świetnie pobudza. Łagodna w smaku. Dla początkujących i zaawansowanych.",www.poyerbani.pl/pol_pl_CBSe-Limon-cytrynowa-0-5kg-1030_1.jpg,26.99,CBSé
